Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,14.740000,14.910000,14.610000,14.820000,13.442747,8351335
2019-01-03,14.755000,15.030000,14.745000,14.930000,13.542525,10370848
2019-01-04,15.010000,15.090000,14.910000,15.045000,13.646838,10704000
2019-01-07,15.105000,15.165000,14.925000,15.065000,13.664979,8086509
2019-01-08,15.005000,15.115000,14.750000,14.865000,13.483565,16750939
2019-01-09,14.900000,14.920000,14.525000,14.770000,13.397394,16543729
2019-01-10,14.715000,14.840000,14.620000,14.780000,13.406465,10142787
2019-01-11,14.785000,14.865000,14.710000,14.735000,13.365646,8783538
2019-01-14,14.710000,14.790000,14.645000,14.705000,13.338434,7653206
2019-01-15,14.830000,14.845000,14.560000,14.685000,13.320293,9769905
2019-01-16,14.720000,14.725000,14.570000,14.675000,13.311223,8443876
2019-01-17,14.625000,14.695000,14.535000,14.590000,13.234122,9735389
2019-01-18,14.630000,14.890000,14.610000,14.890000,13.506243,16644399
2019-01-21,14.715000,14.770000,14.495000,14.530000,13.179698,15300345
2019-01-22,14.480000,14.595000,14.435000,14.540000,13.188768,10944287
2019-01-23,14.415000,14.585000,14.410000,14.455000,13.111668,9772427
2019-01-24,14.400000,14.450000,13.945000,14.190000,12.871294,20777270
2019-01-25,14.275000,14.275000,14.010000,14.095000,12.785123,20165942
2019-01-28,14.020000,14.275000,14.015000,14.200000,12.880365,14590580
2019-01-29,14.290000,14.330000,14.190000,14.285000,12.957466,9204159
2019-01-30,14.235000,14.270000,14.090000,14.235000,12.912112,11097284
2019-01-31,14.235000,14.295000,13.990000,14.190000,12.871294,21600742
2019-02-01,14.210000,14.295000,14.100000,14.210000,12.889436,16620406
2019-02-04,14.210000,14.285000,14.040000,14.155000,12.839546,9953896
2019-02-05,14.185000,14.495000,14.155000,14.485000,13.138879,15330347
2019-02-06,14.480000,14.580000,14.315000,14.340000,13.007355,9314379
2019-02-07,14.290000,14.345000,14.155000,14.185000,12.866759,11171046
2019-02-08,14.185000,14.230000,14.060000,14.140000,12.825942,11629891
2019-02-11,14.200000,14.235000,14.105000,14.160000,12.844083,9068889
2019-02-12,14.250000,14.295000,14.145000,14.155000,12.839546,9090292
2019-02-13,14.250000,14.260000,14.075000,14.165000,12.848618,8409993
2019-02-14,14.255000,14.300000,14.030000,14.145000,12.830477,9518145
2019-02-15,14.155000,14.280000,13.970000,14.260000,12.934789,16305630
2019-02-18,14.290000,14.405000,14.245000,14.380000,13.043637,8434930
