Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score
2019-12-19,47.150002,47.990002,47.110001,47.880001,47.084171,30764700,0.312775
2019-12-20,48.250000,48.369999,47.419998,47.450001,46.661316,52575300,0.341628571428571
2019-12-23,47.549999,48.299999,47.419998,48.099998,47.300514,20253500,0.1908
2019-12-24,48.160000,48.250000,47.650002,47.779999,46.985832,7044700,0.408266666666667
2019-12-26,47.779999,48.000000,47.650002,47.849998,47.054668,11091700,0.426555555555556
2019-12-27,47.990002,48.020000,47.680000,47.770000,46.975998,11056800,0.2818625
2019-12-30,47.750000,47.880001,47.290001,47.590000,46.798988,12128600,0.14915
2019-12-31,47.540001,47.980000,47.410000,47.959999,47.162842,14892600,0.230446153846154
2020-01-02,48.060001,48.419998,47.880001,48.419998,47.965229,16708100,0.363257142857143
2020-01-03,47.910000,48.139999,47.480000,47.630001,47.182652,15577400,0.2654
2020-01-06,47.139999,47.820000,47.009998,47.799999,47.351055,22183600,0.0714714285714286
2020-01-07,47.720001,47.720001,47.099998,47.490002,47.043968,16501900,0.318727272727273
2020-01-08,46.970001,47.790001,46.810001,47.520000,47.073685,25175900,0.396275
2020-01-09,47.790001,47.880001,47.070000,47.320000,46.875565,18203600,0.229022222222222
2020-01-10,47.480000,47.560001,47.060001,47.130001,46.687351,13502600,0.0776714285714286
2020-01-13,47.310001,47.980000,47.299999,47.970001,47.519459,18237400,0.511444444444444
2020-01-14,47.959999,47.990002,47.619999,47.790001,47.341152,17948700,0.241328571428571
2020-01-15,47.919998,48.400002,47.759998,48.009998,47.559082,16289400,0.4653
2020-01-16,48.380001,49.080002,48.230000,49.049999,48.589314,20094900,0.1998
2020-01-17,49.310001,49.540001,48.869999,49.020000,48.559597,27176200,0.36574
2020-01-21,48.959999,49.200001,48.669998,48.799999,48.341663,21771800,0.320925
2020-01-22,49.279999,49.529999,49.040001,49.070000,48.609127,15186000,0.29825
2020-01-23,49.000000,49.180000,48.410000,49.000000,48.539783,16767700,0.795066666666667
2020-01-24,49.220001,49.480000,48.540001,48.849998,48.391193,14066700,0.106975
2020-01-27,47.889999,48.070000,47.270000,47.470001,47.024155,20666000,0.056
2020-01-28,47.520000,47.970001,47.500000,47.770000,47.321339,14035100,0.23335
2020-01-29,47.970001,47.980000,46.930000,47.049999,46.608097,14273600,0.291075
2020-01-30,46.540001,47.270000,46.259998,47.240002,46.796318,14822600,0.53735
2020-01-31,46.990002,47.000000,45.840000,45.970001,45.538246,20069900,0.286683333333333
2020-02-03,46.400002,46.830002,46.209999,46.529999,46.092983,15383500,0.34522
2020-02-04,47.220001,47.709999,47.110001,47.619999,47.172745,13947300,0.473971428571429
2020-02-05,48.330002,48.599998,48.150002,48.450001,47.994953,17042300,0.126916666666667
2020-02-06,48.689999,48.820000,48.220001,48.689999,48.232697,9814800,0.46346
2020-02-07,48.599998,48.770000,47.869999,47.970001,47.519459,16807500,0.558783333333333
2020-02-10,47.990002,48.889999,47.880001,48.869999,48.411003,19012700,0.2857
2020-02-11,49.389999,49.709999,48.860001,49.130001,48.668564,23168300,0.549
2020-02-12,49.430000,50.279999,49.400002,49.930000,49.461052,31686200,0.0659166666666667
2020-02-13,47.150002,47.669998,46.580002,47.320000,46.875565,47044700,0.4318
2020-02-14,47.160000,47.220001,46.480000,46.970001,46.528851,26747200,0.319766666666667
2020-02-18,46.820000,46.849998,46.290001,46.590000,46.152420,18546300,0.4699
2020-02-19,46.689999,46.810001,45.900002,46.290001,45.855240,27626400,0.482296153846154
2020-02-20,46.090000,46.959999,45.900002,46.849998,46.409977,20416700,0.402642857142857
2020-02-21,46.730000,46.849998,46.049999,46.299999,45.865143,20028700,0.5471
2020-02-24,45.000000,45.680000,44.000000,44.000000,43.586746,35295900,0.135275
2020-02-25,44.049999,44.209999,42.070000,42.740002,42.338581,48024700,0.45346
2020-02-26,42.970001,43.380001,41.939999,42.160000,41.764027,38513200,0.261128571428571
2020-02-27,41.279999,42.099998,40.009998,40.040001,39.663940,51442900,0.129366666666667
2020-02-28,38.700001,40.549999,38.349998,39.930000,39.554974,80194000,0.54138
2020-03-02,40.150002,41.189999,38.919998,41.169998,40.783325,48864300,0.31284
2020-03-03,41.259998,41.900002,39.709999,40.040001,39.663940,49294700,0.259044444444444
2020-03-04,40.720001,41.450001,39.799999,41.389999,41.001259,30022100,0.28222
2020-03-05,40.169998,40.509998,39.290001,39.570000,39.198353,30255900,0.520127272727273
2020-03-06,38.000000,39.950001,37.799999,39.680000,39.307320,48605600,0.23482
2020-03-09,36.900002,39.560001,36.290001,37.959999,37.603474,61535300,0.21638
2020-03-10,39.250000,40.150002,37.869999,40.080002,39.703564,50536500,0.490475
2020-03-11,39.020000,39.160000,36.369999,37.049999,36.702019,63594300,0.335683333333333
2020-03-12,34.500000,35.820000,33.000000,33.200001,32.888180,51855300,0.373057142857143
2020-03-13,35.180000,37.680000,33.330002,37.639999,37.286480,53859600,0.2893
2020-03-16,33.230000,36.990002,32.400002,33.709999,33.393391,44211300,0.285033333333333
2020-03-17,34.700001,36.250000,33.599998,35.500000,35.166580,41572400,0.32146
2020-03-18,33.759998,37.709999,33.310001,37.119999,36.771362,56904300,0.4918
2020-03-19,37.049999,39.320000,36.150002,37.709999,37.355820,58319700,0.409514285714286
2020-03-20,38.270000,38.470001,35.400002,35.599998,35.265636,48582500,0.480066666666667
2020-03-23,35.509998,35.820000,33.740002,34.599998,34.275032,39823400,0.45592
2020-03-24,36.410000,38.680000,35.540001,38.599998,38.237461,48235600,0.31275
2020-03-25,38.650002,39.950001,37.500000,37.669998,37.316196,42873900,0.318175
2020-03-26,37.970001,40.919998,37.369999,40.580002,40.198868,38473300,0.3982
2020-03-27,39.209999,40.150002,38.410000,38.820000,38.455399,31278600,0.20724
2020-03-30,39.450001,40.490002,38.959999,40.320000,39.941307,27120300,0.247666666666667
2020-03-31,40.130001,40.419998,39.110001,39.310001,38.940796,26014200,0.55915
2020-04-01,38.169998,38.860001,37.869999,38.330002,37.970001,26790700,0.34505
2020-04-02,37.840000,39.950001,37.470001,39.799999,39.799999,28180500,0.416975
2020-04-03,39.820000,40.290001,38.540001,39.060001,39.060001,21235200,0.2473
