Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score
2019-12-19,8.840000,8.890000,8.630000,8.800000,8.715155,19012100,0.1158
2019-12-20,8.860000,8.860000,8.770000,8.800000,8.715155,5704800,-0.0838833333333334
2019-12-23,8.790000,8.850000,8.780000,8.840000,8.754769,3569800,0.1673
2019-12-24,8.860000,8.890000,8.810000,8.860000,8.774576,1116800,-0.133966666666667
2019-12-26,8.890000,8.930000,8.860000,8.880000,8.794383,2061000,0.124925
2019-12-27,8.900000,8.900000,8.840000,8.860000,8.774576,2449700,0.377966666666667
2019-12-30,8.880000,8.890000,8.760000,8.760000,8.675540,4598500,0.4755
2019-12-31,8.780000,8.820000,8.760000,8.780000,8.695347,2381800,0.220775
2020-01-02,8.960000,9.030000,8.940000,9.010000,8.923130,5368000,0.3843
2020-01-03,8.830000,8.890000,8.790000,8.850000,8.764673,6355200,0.13425
2020-01-06,8.800000,8.950000,8.780000,8.910000,8.824094,3953500,0.275925
2020-01-07,8.830000,8.870000,8.800000,8.820000,8.734962,4259900,0.2922
2020-01-08,8.830000,8.960000,8.820000,8.900000,8.814190,4294600,0.10212
2020-01-09,8.950000,8.970000,8.850000,8.870000,8.784479,4132000,0.305816666666667
2020-01-10,8.650000,8.720000,8.600000,8.630000,8.546794,8614000,0.569242857142857
2020-01-13,8.840000,8.930000,8.760000,8.910000,8.824094,6640000,0.602783333333333
2020-01-14,8.750000,8.820000,8.710000,8.790000,8.705251,7837800,0.355471428571429
2020-01-15,8.680000,8.870000,8.660000,8.830000,8.744865,6501300,0.413342857142857
2020-01-16,9.000000,9.090000,8.970000,9.080000,8.992455,5951600,0.563166666666667
2020-01-17,9.090000,9.090000,8.960000,9.010000,8.923130,5580200,0.43558
2020-01-21,8.950000,9.090000,8.860000,8.890000,8.804287,11122000,0.36404
2020-01-22,8.950000,8.990000,8.910000,8.960000,8.873612,6297900,0.66094
2020-01-23,8.960000,9.010000,8.860000,8.980000,8.893418,8012400,0.4621125
2020-01-24,8.290000,8.450000,8.190000,8.330000,8.249686,29565800,0.5994
2020-01-27,8.290000,8.330000,8.180000,8.250000,8.170458,11642900,0.3182
2020-01-28,8.180000,8.350000,8.160000,8.320000,8.239782,11968700,0.17142
2020-01-29,8.210000,8.240000,8.100000,8.120000,8.041711,13216900,0.233183333333333
2020-01-30,7.970000,7.990000,7.890000,7.990000,7.912964,9675100,0.222242857142857
2020-01-31,7.860000,7.910000,7.820000,7.860000,7.784218,10892600,0.415714285714286
2020-02-03,7.920000,8.000000,7.870000,7.890000,7.813928,4143400,0.281283333333333
2020-02-04,8.050000,8.150000,8.010000,8.100000,8.021904,6516100,0.2437875
2020-02-05,8.190000,8.200000,8.100000,8.170000,8.091228,5655000,0.619352941176471
2020-02-06,8.150000,8.370000,8.140000,8.320000,8.239782,8294400,0.523557142857143
2020-02-07,8.560000,8.880000,8.510000,8.770000,8.685444,26626900,0.29812
2020-02-10,8.660000,8.730000,8.590000,8.700000,8.616118,8830400,0.6805
2020-02-11,9.100000,9.200000,8.900000,8.990000,8.903322,17111200,0.4588
2020-02-12,9.130000,9.240000,9.110000,9.210000,9.121202,9520100,0.46766
2020-02-13,9.070000,9.160000,9.030000,9.080000,8.992455,5744800,0.461116666666667
2020-02-14,9.120000,9.140000,9.020000,9.080000,8.992455,4630200,0.540533333333333
2020-02-18,8.990000,9.020000,8.930000,8.990000,8.903322,4845000,0.301466666666667
2020-02-19,9.000000,9.040000,8.960000,8.980000,8.893418,5340100,0.5202
2020-02-20,8.980000,8.990000,8.860000,8.930000,8.843902,4895600,0.397183333333333
2020-02-21,8.950000,8.970000,8.870000,8.910000,8.824094,5265700,0.331625
2020-02-24,8.510000,8.670000,8.480000,8.590000,8.507179,7035700,0.351628571428571
2020-02-25,8.620000,8.620000,8.300000,8.350000,8.269494,8402700,0.288385714285714
2020-02-26,8.410000,8.820000,8.330000,8.470000,8.388336,18941600,0.492233333333333
2020-02-27,8.260000,8.370000,8.110000,8.150000,8.071422,10160900,0.331983333333333
2020-02-28,7.890000,8.050000,7.770000,8.040000,7.962482,11808800,0.617233333333333
2020-03-02,8.060000,8.120000,7.910000,8.080000,8.002096,10196800,0.365933333333333
2020-03-03,8.160000,8.270000,7.880000,7.950000,7.873350,8865400,0.442025
2020-03-04,8.030000,8.130000,7.950000,8.120000,8.041711,4128900,0.140116666666667
2020-03-05,7.870000,7.950000,7.790000,7.840000,7.764410,5837400,0.0204375
2020-03-06,7.610000,7.720000,7.510000,7.610000,7.536628,10537500,0.4060875
2020-03-09,7.160000,7.420000,7.080000,7.110000,7.041449,10841900,0.275338461538462
2020-03-10,7.510000,7.520000,7.210000,7.470000,7.397977,20980000,0.568690909090909
2020-03-11,7.370000,7.400000,7.020000,7.120000,7.051352,7960600,0.556357142857143
2020-03-12,6.580000,6.590000,6.160000,6.220000,6.160029,9318900,0.358642857142857
2020-03-13,6.990000,7.040000,6.450000,6.960000,6.892895,11422400,0.383516666666667
2020-03-16,6.250000,6.590000,6.150000,6.170000,6.110512,7565400,0.31078
2020-03-17,6.700000,6.950000,6.550000,6.860000,6.793859,7639300,0.4008
2020-03-18,6.680000,7.060000,6.500000,6.780000,6.714631,9963000,0.038675
2020-03-19,6.810000,7.280000,6.750000,7.110000,7.041449,13110000,0.36325
2020-03-20,7.100000,7.270000,6.920000,6.950000,6.882991,9338000,0.39694
2020-03-23,7.000000,7.120000,6.750000,6.790000,6.724534,11035300,0.13
2020-03-24,7.300000,7.480000,7.180000,7.460000,7.388074,7623100,0.0730666666666667
2020-03-25,7.330000,7.600000,7.140000,7.430000,7.358363,10484700,0.163666666666667
2020-03-26,7.290000,7.600000,7.290000,7.600000,7.526724,6824200,0.0655428571428571
2020-03-27,7.360000,7.570000,7.240000,7.400000,7.328653,11201900,0.6114
2020-03-30,7.620000,7.950000,7.550000,7.930000,7.853542,9853500,0.41752
2020-03-31,7.870000,8.290000,7.840000,8.090000,8.012000,13319000,0.313183333333333
2020-04-01,7.810000,7.960000,7.730000,7.770000,7.770000,8389100,0.0748
2020-04-02,7.800000,7.940000,7.700000,7.930000,7.930000,9466200,0.3822
2020-04-03,7.730000,7.810000,7.620000,7.720000,7.720000,5915200,0.529275
