Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,111.660004,115.629997,110.360001,113.739998,113.739998,861100
2019-01-03,112.080002,113.345001,108.589996,109.019997,109.019997,1082300
2019-01-04,112.059998,121.470001,111.500000,118.510002,118.510002,2484800
2019-01-07,115.040001,123.865997,113.279999,119.360001,119.360001,2516200
2019-01-08,121.440002,122.769997,114.699997,117.480003,117.480003,1257100
2019-01-09,118.599998,124.379997,118.161003,122.690002,122.690002,1276700
2019-01-10,122.349998,124.970001,119.589996,123.930000,123.930000,1347100
2019-01-11,123.000000,124.360001,118.290001,120.519997,120.519997,1414400
2019-01-14,120.199997,128.000000,118.570000,126.709999,126.709999,2474200
2019-01-15,129.270004,132.419998,128.639999,131.250000,131.250000,2979900
2019-01-16,132.020004,134.559998,130.149994,134.250000,134.250000,2152200
2019-01-17,133.020004,135.350006,132.529999,133.250000,133.250000,1372400
2019-01-18,135.000000,136.000000,132.580002,133.660004,133.660004,1314100
2019-01-22,132.610001,134.770004,131.759995,133.800003,133.800003,1255600
2019-01-23,134.199997,135.500000,128.535004,130.919998,130.919998,1159400
2019-01-24,131.000000,133.559998,130.149994,132.699997,132.699997,708100
2019-01-25,134.279999,135.649994,133.000000,134.669998,134.669998,997000
2019-01-28,134.039993,134.410004,130.899994,133.250000,133.250000,1512600
2019-01-29,133.720001,134.100006,129.755997,132.460007,132.460007,790900
2019-01-30,133.970001,137.490005,133.550003,136.470001,136.470001,1456000
2019-01-31,136.520004,140.699997,135.309998,135.449997,135.449997,2173700
2019-02-01,135.119995,138.789993,133.449997,137.210007,137.210007,1783500
2019-02-04,137.740005,141.410004,137.199997,138.600006,138.600006,1245100
2019-02-05,140.000000,141.000000,137.630005,139.399994,139.399994,1844500
2019-02-06,129.899994,137.350006,129.600006,135.449997,135.449997,7575300
2019-02-07,134.970001,135.000000,128.699997,131.190002,131.190002,2514800
2019-02-08,129.520004,135.740005,128.970993,134.710007,134.710007,1989900
2019-02-11,136.649994,138.899994,136.089996,137.820007,137.820007,3154800
2019-02-12,139.000000,143.369995,137.899994,140.460007,140.460007,2483300
2019-02-13,142.130005,144.130005,141.110001,143.539993,143.539993,2165800
2019-02-14,143.250000,148.985001,143.000000,146.869995,146.869995,2943600
2019-02-15,147.960007,148.639999,144.690002,148.520004,148.520004,2056100
2019-02-19,148.000000,149.804993,145.649994,146.279999,146.279999,1223400
2019-02-20,146.500000,148.660004,145.649994,147.830002,147.830002,1230400
2019-02-21,147.550003,149.860001,146.649994,148.520004,148.520004,1039500
2019-02-22,149.000000,152.570007,148.800003,151.190002,151.190002,1961400
2019-02-25,152.000000,153.440002,148.500000,149.330002,149.330002,1188700
2019-02-26,145.839996,147.940002,142.000000,145.070007,145.070007,1587300
2019-02-27,145.000000,147.699997,142.850006,145.000000,145.000000,1830200
2019-02-28,145.649994,146.014999,139.410004,140.139999,140.139999,2110400
2019-03-01,139.210007,141.000000,135.220001,138.000000,138.000000,3306200
2019-03-04,138.449997,140.223999,136.679993,139.229996,139.229996,1415500
2019-03-05,139.419998,146.199997,139.419998,143.600006,143.600006,1712600
2019-03-06,143.850006,146.600006,142.393005,145.119995,145.119995,1233700
2019-03-07,144.100006,145.000000,138.399994,140.179993,140.179993,1588800
2019-03-08,138.389999,141.250000,138.100006,140.179993,140.179993,1129100
2019-03-11,140.179993,147.389999,140.149994,146.360001,146.360001,1523700
2019-03-12,146.619995,147.789993,144.820007,145.330002,145.330002,796100
2019-03-13,146.960007,147.220001,143.229996,143.490005,143.490005,1266900
2019-03-14,144.240005,144.550003,140.009995,140.240005,140.240005,1184500
2019-03-15,141.610001,144.470001,140.600006,141.910004,141.910004,1346500
2019-03-18,141.919998,143.324997,138.100006,139.179993,139.179993,1151900
2019-03-19,140.630005,142.485001,139.070007,141.550003,141.550003,1682600
2019-03-20,141.389999,144.380005,139.699997,143.899994,143.899994,1138800
2019-03-21,142.419998,145.000000,141.520004,143.990005,143.990005,1106300
2019-03-22,142.750000,142.850006,137.029999,139.000000,139.000000,2242700
2019-03-25,137.750000,143.490005,135.699997,142.100006,142.100006,1906800
2019-03-26,142.100006,143.000000,136.399994,137.449997,137.449997,1775800
2019-03-27,138.029999,138.539993,131.779999,133.350006,133.350006,2071900
2019-03-28,133.850006,137.880005,132.970001,137.639999,137.639999,1248200
2019-03-29,135.589996,139.710007,135.100006,138.800003,138.800003,1666100
2019-04-01,139.929993,141.000000,137.949997,140.059998,140.059998,1473000
2019-04-02,140.649994,143.500000,139.500000,142.550003,142.550003,1361600
2019-04-03,143.190002,145.509995,142.550003,143.820007,143.820007,1367200
2019-04-04,143.389999,143.580002,138.869995,140.270004,140.270004,1289700
2019-04-05,141.440002,144.250000,140.910004,141.130005,141.130005,2196600
2019-04-08,140.850006,144.360001,139.779999,142.279999,142.279999,753700
2019-04-09,141.710007,143.369995,140.630005,141.339996,141.339996,907100
2019-04-10,141.350006,145.440002,140.470001,143.570007,143.570007,1056700
2019-04-11,143.710007,144.356003,140.500000,141.800003,141.800003,913400
2019-04-12,142.710007,146.199997,142.259995,144.949997,144.949997,904700
2019-04-15,141.000000,141.949997,137.199997,138.550003,138.550003,2024200
2019-04-16,138.669998,140.490005,136.850006,139.410004,139.410004,1172600
2019-04-17,139.910004,140.199997,136.669998,137.690002,137.690002,972100
2019-04-18,137.460007,139.750000,134.660004,139.649994,139.649994,1119200
2019-04-22,136.199997,136.904999,133.949997,135.919998,135.919998,1634100
2019-04-23,134.960007,139.850006,134.429993,138.789993,138.789993,1704500
2019-04-24,138.479996,138.789993,134.139999,135.619995,135.619995,1693400
2019-04-25,134.500000,136.350006,132.210999,132.820007,132.820007,1675200
2019-04-26,134.000000,139.225006,133.229996,138.250000,138.250000,2844600
2019-04-29,144.399994,145.460007,134.210007,138.139999,138.139999,6689600
2019-04-30,138.350006,140.830002,133.800003,135.770004,135.770004,1678600
2019-05-01,136.500000,137.289993,135.070007,136.500000,136.500000,1482300
2019-05-02,136.500000,136.699997,131.860001,132.699997,132.699997,1287700
2019-05-03,132.770004,137.240005,132.770004,136.169998,136.169998,1411300
2019-05-06,132.960007,137.345001,131.940002,137.000000,137.000000,1157800
2019-05-07,135.130005,137.270004,134.360001,136.059998,136.059998,1014000
2019-05-08,135.570007,137.899994,134.500000,137.710007,137.710007,847500
